Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2021-01-01,Nytårsdag,New Year's Day,DK,True,True,,Public,
2021-04-01,Skærtorsdag,Maundy Thursday,DK,False,True,,Public,
2021-04-02,Langfredag,Good Friday,DK,False,True,,Public,
2021-04-04,Påskedag,Easter Sunday,DK,False,True,,Public,
2021-04-05,2. Påskedag,Easter Monday,DK,False,True,,Public,
2021-04-30,Store bededag,General Prayer Day,DK,False,True,,Public,
2021-05-13,Kristi Himmelfartsdag,Ascension Day,DK,False,True,,Public,
2021-05-14,Banklukkedag,Bank closing day,DK,False,True,,"Bank, School, Optional",
2021-05-23,Pinsedag,Pentecost,DK,False,True,,Public,
2021-05-24,2. Pinsedag,Whit Monday,DK,False,True,,Public,
2021-06-05,Grundlovsdag,Constitution Day,DK,True,True,,"Bank, School, Optional",
2021-12-24,Juleaftensdag,Christmas Eve,DK,True,True,,"Bank, School, Optional",
2021-12-25,Juledag / 1. juledag,Christmas Day,DK,True,True,,Public,
2021-12-26,2. juledag,St. Stephen's Day,DK,True,True,,Public,
2021-12-31,Nytårsaftensdag,New Year's Eve,DK,True,True,,"Bank, School, Optional",
